,run0,run1,run2,run3
403,5.0,5.0,7.0,3.0
404,5.0,1.0,3.0,1.0
405,1.0,1.0,3.0,3.0
406,7.0,1.0,15.0,5.0
407,3.0,3.0,3.0,3.0
408,3.0,7.0,5.0,3.0
409,1.0,3.0,7.0,1.0
410,1.0,3.0,6.0,1.0
411,3.0,6.0,6.0,1.0
412,2.0,4.0,6.0,3.0
413,6.0,2.0,7.0,1.0
414,6.0,2.0,3.0,0.0
415,2.0,3.0,5.0,2.0
416,2.0,3.0,4.0,3.0
417,3.0,3.0,5.0,3.0
418,1.0,4.0,3.0,3.0
419,3.0,5.0,3.0,7.0
420,1.0,3.0,3.0,3.0
421,7.0,7.0,7.0,3.0
422,3.0,13.0,7.0,1.0
423,3.0,1.0,5.0,5.0
424,3.0,1.0,5.0,1.0
425,3.0,1.0,7.0,1.0
426,3.0,1.0,7.0,1.0
427,7.0,1.0,7.0,1.0
428,3.0,1.0,3.0,3.0
429,1.0,1.0,3.0,3.0
430,1.0,1.0,3.0,7.0
431,2.0,1.0,2.0,7.0
432,2.0,1.0,2.0,7.0
433,3.0,3.0,2.0,3.0
434,3.0,2.0,2.0,5.0
435,3.0,3.0,0.0,1.0
436,1.0,2.0,1.0,2.0
437,3.0,2.0,1.0,0.0
438,3.0,2.0,7.0,2.0
439,3.0,3.0,5.0,2.0
440,3.0,3.0,5.0,2.0
441,1.0,3.0,7.0,2.0
442,1.0,3.0,5.0,2.0
443,3.0,1.0,0.0,2.0
444,1.0,1.0,2.0,0.0
445,0.0,5.0,4.0,2.0
446,0.0,1.0,0.0,3.0
447,0.0,3.0,0.0,3.0
448,0.0,2.0,1.0,3.0
449,0.0,2.0,3.0,3.0
450,0.0,0.0,3.0,3.0
451,0.0,2.0,7.0,3.0
452,1.0,2.0,3.0,3.0
453,1.0,3.0,2.0,2.0
454,0.0,3.0,4.0,2.0
455,0.0,3.0,0.0,2.0
456,6.0,2.0,0.0,2.0
457,4.0,2.0,2.0,2.0
458,6.0,2.0,2.0,2.0
459,7.0,2.0,2.0,0.0
460,3.0,2.0,2.0,1.0
461,3.0,3.0,2.0,1.0
462,7.0,3.0,2.0,1.0
463,4.0,3.0,2.0,1.0
464,4.0,7.0,3.0,5.0
465,6.0,3.0,3.0,3.0
466,7.0,3.0,3.0,2.0
467,7.0,1.0,3.0,2.0
468,7.0,1.0,1.0,2.0
469,7.0,3.0,1.0,2.0
470,3.0,3.0,1.0,0.0
471,3.0,3.0,7.0,2.0
472,7.0,2.0,1.0,2.0
473,3.0,4.0,3.0,2.0
474,7.0,5.0,3.0,2.0
475,1.0,7.0,2.0,2.0
476,3.0,7.0,6.0,3.0
477,3.0,7.0,4.0,3.0
478,3.0,6.0,0.0,3.0
479,3.0,6.0,1.0,3.0
480,3.0,7.0,1.0,3.0
481,2.0,5.0,3.0,3.0
482,2.0,1.0,7.0,3.0
483,2.0,1.0,3.0,3.0
484,2.0,3.0,2.0,3.0
485,2.0,3.0,2.0,3.0
486,3.0,7.0,2.0,5.0
487,3.0,4.0,6.0,4.0
488,3.0,4.0,6.0,4.0
489,3.0,6.0,7.0,0.0
490,3.0,6.0,7.0,1.0
491,3.0,7.0,3.0,0.0
492,1.0,3.0,3.0,1.0
493,1.0,3.0,3.0,5.0
494,3.0,1.0,3.0,5.0
495,3.0,7.0,3.0,6.0
496,7.0,5.0,3.0,2.0
497,5.0,7.0,3.0,6.0
498,1.0,5.0,7.0,7.0
499,1.0,7.0,7.0,7.0
